Entity,Code,Year,"Other renewables (TWh, direct energy)","Solar (TWh, direct energy)","Biofuels (TWh, direct energy)","Wind (TWh, direct energy)","Hydropower (TWh, direct energy)","Traditional biomass (TWh, direct energy)"
World,OWID_WRL,1800,0,0,0,0,0,5556
World,OWID_WRL,1810,0,0,0,0,0,5833
World,OWID_WRL,1820,0,0,0,0,0,6111
World,OWID_WRL,1830,0,0,0,0,0,6389
World,OWID_WRL,1840,0,0,0,0,0,6944
World,OWID_WRL,1850,0,0,0,0,0,7222
World,OWID_WRL,1860,0,0,0,0,0,6944
World,OWID_WRL,1870,0,0,0,0,0,6944
World,OWID_WRL,1880,0,0,0,0,0,6944
World,OWID_WRL,1890,0,0,0,0,14,6667
World,OWID_WRL,1900,0,0,0,0,17,6111
World,OWID_WRL,1910,0,0,0,0,33,6389
World,OWID_WRL,1920,0,0,0,0,64,6944
World,OWID_WRL,1930,0,0,0,0,131,7222
World,OWID_WRL,1940,0,0,0,0,192,7222
World,OWID_WRL,1950,0,0,0,0,333,7500
World,OWID_WRL,1960,0,0,0,0,689,8889
World,OWID_WRL,1965,17.985231,0,9.029861,0,923.19806,9162
World,OWID_WRL,1966,19.806007,0,9.209844,0,983.81696,9218
World,OWID_WRL,1967,19.98657,0,9.383716,0,1005.7424,9274
World,OWID_WRL,1968,22.120045,0,9.5538,0,1059.2887,9331
World,OWID_WRL,1969,23.257965,0,9.723981,0,1121.7424,9387
World,OWID_WRL,1970,25.701897,0,11.0390625,0,1174.6497,9444
World,OWID_WRL,1971,27.888294,0,11.649558,0,1227.2422,9499
World,OWID_WRL,1972,29.888775,0,12.946933,0,1284.629,9553
World,OWID_WRL,1973,32.09585,0,12.586639,0,1303.013,9608
World,OWID_WRL,1974,34.289085,0,12.167814,0,1431.2317,9663
World,OWID_WRL,1975,34.81208,0,11.48028,0,1448.8834,9718
World,OWID_WRL,1976,38.79105,0,11.869931,0,1443.1366,9774
World,OWID_WRL,1977,40.89204,0,15.856679,0,1491.6724,9830
World,OWID_WRL,1978,43.29665,0,20.971792,0.003,1614.3823,9886
World,OWID_WRL,1979,46.499256,0,26.000826,0.006,1695.1862,9943
World,OWID_WRL,1980,49.717464,0,29.858547,0.0105,1731.6493,10000
World,OWID_WRL,1981,53.48617,0,27.297348,0.0105,1768.9036,10106
World,OWID_WRL,1982,61.708954,0,35.222523,0.0185,1800.9081,10213
World,OWID_WRL,1983,68.35493,0.003,44.509296,0.03279495,1877.7689,10321
World,OWID_WRL,1984,76.34615,0.006311111,53.712532,0.044755556,1941.3734,10430
World,OWID_WRL,1985,79.07158,0.011747475,63.57528,0.064220205,1979.782,10541
World,OWID_WRL,1986,85.91538,0.015183838,79.67753,0.13883132,2006.5929,10653
World,OWID_WRL,1987,91.96002,0.01060303,81.13546,0.19537677,2033.778,10765
World,OWID_WRL,1988,94.601906,0.01019596,85.56256,0.3315798,2098.947,10879
World,OWID_WRL,1989,104.530365,0.26222324,91.30406,2.6497767,2087.7932,10995
World,OWID_WRL,1990,117.1966,0.38829494,100.93559,3.6324706,2158.7434,11111
World,OWID_WRL,1991,122.234406,0.5052029,106.65063,4.0867066,2209.0586,11243
World,OWID_WRL,1992,131.13734,0.4665851,104.658966,4.733212,2208.4602,11376
World,OWID_WRL,1993,135.51932,0.55669755,109.135025,5.697569,2341.4575,11511
World,OWID_WRL,1994,140.64368,0.59701395,117.91619,7.12293,2356.1958,11647
World,OWID_WRL,1995,146.61673,0.6388138,124.090675,8.261924,2483.679,11785
World,OWID_WRL,1996,150.68289,0.69920796,119.1963,9.2046,2517.0254,11925
World,OWID_WRL,1997,161.39073,0.7495848,124.06341,12.017817,2561.03,12066
World,OWID_WRL,1998,168.1891,0.811789,126.485115,15.92126,2580.9958,12209
World,OWID_WRL,1999,176.61984,0.9051969,128.31883,21.216173,2600.5432,12414
World,OWID_WRL,2000,184.7502,1.0589701,125.51533,31.407434,2646.667,12500
World,OWID_WRL,2001,191.8941,1.4232854,121.65284,38.38145,2578.682,12500
World,OWID_WRL,2002,206.54245,1.7990196,151.30211,52.344784,2626.26,12470
World,OWID_WRL,2003,218.14294,2.2551038,171.08366,63.285397,2622.8213,12329
World,OWID_WRL,2004,235.69623,2.9715216,202.19873,85.62619,2816.4531,12160
World,OWID_WRL,2005,255.08171,4.18711,240.34448,104.64433,2911.2815,12076
World,OWID_WRL,2006,271.76044,5.761839,298.0294,133.49828,3022.0857,11993
World,OWID_WRL,2007,294.84308,7.8179097,391.139,171.5067,3072.8923,11911
World,OWID_WRL,2008,315.41873,12.697423,527.39954,221.41104,3251.431,11829
World,OWID_WRL,2009,338.81403,21.073973,600.3395,276.79254,3246.414,11747
World,OWID_WRL,2010,380.77747,33.91127,691.15643,346.4246,3429.21,11667
World,OWID_WRL,2011,402.35526,65.58232,728.1023,440.38376,3492.6719,11553
World,OWID_WRL,2012,435.71637,101.54088,754.1319,530.49646,3641.911,11441
World,OWID_WRL,2013,470.9959,138.60146,819.0755,635.5051,3788.3323,11330
World,OWID_WRL,2014,510.2568,196.3565,868.7944,705.8537,3889.022,11220
World,OWID_WRL,2015,551.1013,254.73972,905.09576,831.34375,3878.3682,11111
World,OWID_WRL,2016,559.9602,327.58423,946.9468,962.1017,4012.4524,11111
World,OWID_WRL,2017,596.4205,445.46628,972.5343,1140.3931,4069.9827,11111
World,OWID_WRL,2018,643.03204,576.2309,1045.908,1269.9792,4183.1665,11111
World,OWID_WRL,2019,674.74536,703.94977,1120.1494,1420.5441,4231.377,11111
World,OWID_WRL,2020,703.91644,846.2294,1065.565,1596.4282,4345.99,11111
World,OWID_WRL,2021,762.78265,1032.5012,1139.9211,1861.9398,4273.8276,11111